Id,Category
0,6
1,20
2,20
3,19
4,19
5,6
6,26
7,26
8,22
9,19
10,19
11,20
12,11
13,11
14,19
15,26
16,19
17,11
18,16
19,19
20,6
21,1
22,5
23,19
24,26
25,20
26,19
27,6
28,22
29,19
30,19
31,19
32,14
33,14
34,14
35,19
36,15
37,19
38,19
39,19
40,19
41,19
42,19
43,11
44,14
45,24
46,20
47,19
48,11
49,6
50,8
51,6
52,26
53,20
54,1
55,19
56,26
57,19
58,26
59,19
60,20
61,22
62,24
63,18
64,20
65,19
66,19
67,22
68,19
69,18
70,20
71,20
72,26
73,20
74,19
75,19
76,3
77,11
78,20
79,22
80,19
81,19
82,5
83,19
84,19
85,26
86,26
87,11
88,26
89,26
90,19
91,25
92,19
93,21
94,19
95,20
96,20
97,25
98,6
99,25
100,15
101,20
102,22
103,19
104,1
105,24
106,6
107,15
108,20
109,19
110,13
111,19
112,19
113,20
114,3
115,6
116,3
117,22
118,19
119,24
120,19
121,6
122,13
123,19
124,24
125,20
126,13
127,19
128,5
129,27
130,26
131,20
132,6
133,20
134,3
135,26
136,20
137,22
138,11
139,14
140,3
141,22
142,3
143,19
144,20
145,19
146,6
147,20
148,19
149,6
150,6
151,26
152,19
153,19
154,20
155,20
156,20
157,24
158,5
159,20
160,19
161,20
162,11
163,2
164,26
165,3
166,1
167,26
168,19
169,6
170,3
171,19
172,19
173,26
174,19
175,19
176,9
177,26
178,20
179,19
180,19
181,13
182,19
183,19
184,6
185,20
186,14
187,3
188,2
189,24
190,6
191,11
192,3
193,3
194,1
195,26
196,20
197,22
198,3
199,19
200,15
201,20
202,15
203,6
204,9
205,8
206,24
207,6
208,19
209,25
210,19
211,9
212,19
213,19
214,25
215,22
216,20
217,5
218,18
219,19
220,3
221,26
222,6
223,6
224,20
225,8
226,19
227,6
228,19
229,27
230,26
231,6
232,20
233,13
234,26
235,19
236,14
237,19
238,8
239,19
240,20
241,19
242,20
243,14
244,13
245,20
246,18
247,19
248,15
249,6
250,15
251,0
252,3
253,14
254,20
255,15
256,19
257,6
258,13
259,26
260,20
261,15
262,26
263,26
264,19
265,19
266,13
267,26
268,26
269,20
270,14
271,26
272,6
273,22
274,20
275,10
276,19
277,14
278,5
279,26
280,1
281,20
282,8
283,3
284,26
285,25
286,22
287,20
288,26
289,6
290,6
291,19
292,19
293,22
294,1
295,20
296,6
297,0
298,3
299,24
300,11
301,24
302,19
303,20
304,9
305,27
306,27
307,20
308,15
309,1
310,19
311,19
312,27
313,0
314,14
315,12
316,19
317,19
318,14
319,19
320,22
321,19
322,19
323,19
324,6
325,19
326,26
327,19
328,11
329,20
330,8
331,19
332,20
333,17
334,1
335,6
336,6
337,19
338,26
339,6
340,13
341,13
342,1
343,12
344,6
345,6
346,6
347,6
348,11
349,20
350,19
351,6
352,20
353,17
354,16
355,26
356,26
357,3
358,19
359,12
360,19
361,22
362,25
363,13
364,10
365,6
366,19
367,20
368,6
369,25
370,0
371,14
372,6
373,22
374,5
375,19
376,3
377,19
378,26
379,15
380,6
381,19
382,26
383,19
384,26
385,8
386,11
387,13
388,20
389,19
390,3
391,6
392,20
393,26
394,19
395,19
396,12
397,19
398,19
399,19
400,6
401,19
402,19
403,13
404,19
405,20
406,20
407,20
408,20
409,11
410,6
411,11
412,19
413,19
414,6
415,3
416,14
417,19
418,19
419,20
420,19
421,1
422,3
423,19
424,19
425,19
426,25
427,19
428,22
429,19
430,22
431,6
432,19
433,3
434,26
435,23
436,25
437,19
438,19
439,22
440,19
441,22
442,19
443,15
444,6
445,26
446,6
447,22
448,20
449,19
450,22
451,24
452,19
453,3
454,19
455,26
456,26
457,26
458,26
459,11
460,6
461,24
462,19
463,19
464,26
465,19
466,19
467,19
468,9
469,20
470,9
471,6
472,24
473,14
474,26
475,6
476,20
477,3
478,25
479,12
480,19
481,1
482,19
483,20
484,11
485,20
486,5
487,5
488,21
489,19
490,19
491,5
492,19
493,18
494,3
495,26
496,7
497,3
498,20
499,25
500,19
501,20
502,19
503,19
504,3
505,6
506,8
507,19
508,27
509,8
510,6
511,16
512,19
513,25
514,21
515,15
516,19
517,20
518,25
519,19
520,19
521,0
522,6
523,18
524,26
525,26
526,20
527,20
528,19
529,19
530,19
531,15
532,26
533,0
534,4
535,3
536,26
537,6
538,6
539,15
540,11
541,12
542,25
543,1
544,6
545,3
546,20
547,13
548,6
549,20
550,13
551,11
552,8
553,19
554,26
555,22
556,19
557,3
558,24
559,5
560,17
561,19
562,19
563,14
564,22
565,26
566,21
567,19
568,6
569,26
570,11
571,6
572,19
573,24
574,20
575,26
576,27
577,19
578,5
579,19
580,4
581,1
582,19
583,19
584,19
585,1
586,19
587,19
588,22
589,19
590,19
591,19
592,19
593,8
594,13
595,27
596,13
597,6
598,6
599,19
600,19
601,19
602,14
603,3
604,4
605,19
606,9
607,8
608,20
609,19
610,5
611,6
612,19
613,20
614,19
615,19
616,26
617,3
618,13
619,3
620,6
621,6
622,20
623,19
624,24
625,19
626,1
627,1
628,3
629,19
630,14
631,20
632,25
633,26
634,19
635,11
636,20
637,26
638,22
639,22
640,22
641,18
642,19
643,3
644,19
645,3
646,6
647,5
648,26
649,3
650,19
651,8
652,19
653,27
654,19
655,19
656,24
657,6
658,19
659,26
660,18
661,14
662,18
663,6
664,6
665,26
666,19
667,20
668,3
669,15
670,20
671,19
672,20
673,6
674,6
675,26
676,22
677,6
678,19
679,18
680,9
681,24
682,22
683,13
684,26
685,24
686,21
687,19
688,19
689,22
690,26
691,19
692,19
693,20
694,19
695,24
696,19
697,20
698,19
699,15
700,19
701,0
702,1
703,20
704,26
705,15
706,19
707,5
708,20
709,0
710,24
711,19
712,19
713,26
714,5
715,24
716,15
717,13
718,8
719,11
720,20
721,19
722,19
723,22
724,19
725,24
726,24
727,19
728,19
729,19
730,19
731,25
732,20
733,11
734,1
735,26
736,20
737,19
738,20
739,0
740,19
741,22
742,9
743,20
744,26
745,22
746,19
747,19
748,6
749,19
750,3
751,19
752,19
753,18
754,22
755,3
756,9
757,14
758,14
759,19
760,6
761,19
762,19
763,19
764,19
765,19
766,15
767,26
768,6
769,26
770,24
771,16
772,13
773,26
774,20
775,6
776,19
777,7
778,19
779,19
780,6
781,3
782,19
783,24
784,6
785,8
786,6
787,19
788,19
789,19
790,26
791,1
792,3
793,12
794,3
795,26
796,26
797,19
798,26
799,19
800,20
801,24
802,19
803,19
804,6
805,19
806,20
807,8
808,19
809,19
810,20
811,19
812,26
813,19
814,19
815,14
816,19
817,6
818,26
819,19
820,20
821,19
822,6
823,19
824,3
825,6
826,26
827,15
828,19
829,24
830,14
831,19
832,20
833,3
834,11
835,19
836,20
837,19
838,19
839,19
840,3
841,19
842,20
843,20
844,5
845,4
846,26
847,19
848,11
849,20
850,19
851,19
852,19
853,20
854,19
855,3
856,26
857,3
858,5
859,26
860,6
861,19
862,6
863,6
864,6
865,22
866,22
867,14
868,19
869,19
870,11
871,20
872,8
873,22
874,6
875,22
876,19
877,19
878,9
879,19
880,11
881,15
882,6
883,26
884,22
885,20
886,14
887,6
888,19
889,6
890,19
891,6
892,19
893,19
894,20
895,6
896,19
897,3
898,9
899,6
900,11
901,11
902,3
903,13
904,11
905,22
906,26
907,1
908,26
909,19
910,22
911,19
912,4
913,6
914,11
915,1
916,15
917,26
918,19
919,19
920,11
921,24
922,20
923,26
924,10
925,19
926,22
927,19
928,20
929,22
930,5
931,19
932,27
933,19
934,26
935,3
936,20
937,22
938,19
939,19
940,19
941,19
942,6
943,6
944,19
945,20
946,20
947,19
948,20
949,20
950,20
951,3
952,26
953,5
954,8
955,11
956,26
957,15
958,3
959,6
960,1
961,11
962,19
963,19
964,20
965,22
966,24
967,19
968,16
969,15
970,22
971,8
972,4
973,19
974,19
975,11
976,19
977,19
978,13
979,26
980,20
981,19
982,1
983,19
984,6
985,19
986,19
987,15
988,20
989,19
990,11
991,14
992,0
993,8
994,1
995,22
996,8
997,19
998,8
999,19
1000,19
1001,24
1002,5
1003,12
1004,0
1005,26
1006,26
1007,19
1008,18
1009,3
1010,26
1011,20
1012,15
1013,24
1014,3
1015,3
1016,26
1017,19
1018,19
1019,6
1020,6
1021,22
1022,22
1023,6
1024,11
1025,19
1026,19
1027,9
1028,19
1029,19
1030,19
1031,20
1032,19
1033,19
1034,20
1035,26
1036,5
1037,11
1038,25
1039,24
1040,19
1041,19
1042,24
1043,19
1044,5
1045,26
1046,1
1047,1
1048,20
1049,25
1050,20
1051,19
1052,20
1053,19
1054,19
1055,22
1056,19
1057,26
1058,1
1059,10
1060,19
1061,19
1062,27
1063,3
1064,1
1065,19
1066,1
1067,19
1068,26
1069,19
1070,19
1071,26
1072,27
1073,15
1074,20
1075,20
1076,22
1077,26
1078,14
1079,6
1080,26
1081,6
1082,6
1083,19
1084,26
1085,19
1086,25
1087,27
1088,20
1089,19
1090,24
1091,20
1092,20
1093,19
1094,20
1095,6
1096,19
1097,3
1098,3
1099,24
1100,19
1101,24
1102,20
1103,6
1104,6
1105,3
1106,6
1107,19
1108,19
